Fname,Lname,ChildID,PID,Bdate,ProgID,Cssn
Jane,Smith,23232,12345,12/25/20,1,111111111
John,Smith,23234,12345,03/06/15,3,222222222
Li,Wong,23236,67890,06/19/19,2,333333333
Dave,Shah,23238,45589,11/14/09,4,444444444
Zakia,Afsar,23240,78965,04/29/10,4,555555555
Sarah,William,23242,78966,02/14/19,2,666666666
Michael,Noah,23244,23456,10/06/17,3,777777777
Noah,Michael,78965,96321,03/10/19,2,888888888
Kayla,Michael,78965,96321,08/14/13,3,999999999
George,Allen,98765,12578,09/08/10,4,121212121
Michelle,Jordan,23456,12548,06/07/19,2,131313131
Sean,Robert,78945,11789,01/01/20,1,141414141
